Timestamp(s),V_Pack(V),Current(A),Power(W),Energy_Rem(kWh),Total_Energy(kWh),SOC_EKF(%),SOC_CC(%),V_Cell_1(V),T_Cell_1,T_Cell_Q1,T_Cell_Mid,T_Cell_Last,Fault_Status
0.5000,3.3649,0.0000,0.0000,0.2016,0.2268,89.7910,88.9261,3.3649,25.0000,25.0000,25.0000,25.0000,NOMINAL
1.0000,3.3649,0.0000,0.0000,0.2016,0.2268,89.6915,88.9261,3.3649,25.0000,25.0000,25.0000,25.0000,NOMINAL
1.5000,3.3649,0.0000,0.0000,0.2016,0.2268,89.6125,88.9261,3.3649,25.0000,25.0000,25.0000,25.0000,NOMINAL
2.0000,3.3535,20.0000,71.0345,0.2016,0.2268,89.5482,88.9222,3.3535,25.0035,25.0035,25.0035,25.0035,NOMINAL
2.5000,3.3432,36.0000,121.7479,0.2016,0.2268,89.4887,88.9153,3.3432,25.0148,25.0148,25.0148,25.0148,NOMINAL
3.0000,3.3410,36.0000,120.2752,0.2016,0.2268,89.4363,88.9083,3.3410,25.0261,25.0261,25.0261,25.0261,NOMINAL
3.5000,3.3389,36.0000,120.2001,0.2016,0.2268,89.3905,88.9014,3.3389,25.0374,25.0374,25.0374,25.0374,NOMINAL
4.0000,3.3369,36.0000,120.1291,0.2016,0.2268,89.3500,88.8944,3.3369,25.0487,25.0487,25.0487,25.0487,NOMINAL
4.5000,3.3351,36.0000,120.0622,0.2016,0.2268,89.3137,88.8875,3.3351,25.0599,25.0599,25.0599,25.0599,NOMINAL
5.0000,3.3333,36.0000,119.9990,0.2015,0.2268,89.2808,88.8805,3.3333,25.0711,25.0711,25.0711,25.0711,NOMINAL
5.5000,3.3316,36.0000,119.9394,0.2015,0.2268,89.2509,88.8736,3.3316,25.0822,25.0822,25.0822,25.0822,NOMINAL
6.0000,3.3301,36.0000,119.8830,0.2015,0.2268,89.2234,88.8667,3.3301,25.0933,25.0933,25.0933,25.0933,NOMINAL
6.5000,3.3286,36.0000,119.8298,0.2015,0.2268,89.1980,88.8597,3.3286,25.1044,25.1044,25.1044,25.1044,NOMINAL
7.0000,3.3272,36.0000,119.7795,0.2015,0.2268,89.1743,88.8528,3.3272,25.1155,25.1155,25.1155,25.1155,NOMINAL
7.5000,3.3259,36.0000,119.7320,0.2015,0.2268,89.1522,88.8458,3.3259,25.1266,25.1266,25.1266,25.1266,NOMINAL
8.0000,3.3246,36.0000,119.6871,0.2014,0.2268,89.1314,88.8389,3.3246,25.1376,25.1376,25.1376,25.1376,NOMINAL
8.5000,3.3235,36.0000,119.6446,0.2014,0.2268,89.1117,88.8319,3.3235,25.1486,25.1486,25.1486,25.1486,NOMINAL
9.0000,3.3212,38.0000,125.5941,0.2014,0.2268,89.0924,88.8246,3.3212,25.1608,25.1608,25.1608,25.1608,NOMINAL
9.5000,3.3376,7.0000,19.8388,0.2014,0.2268,89.0789,88.8232,3.3376,25.1608,25.1608,25.1608,25.1608,NOMINAL
10.0000,3.3481,-10.0000,-33.9523,0.2014,0.2268,89.0707,88.8252,3.3481,25.1613,25.1613,25.1613,25.1613,NOMINAL
10.5000,3.3500,-10.0000,-33.4997,0.2014,0.2268,89.0634,88.8271,3.3500,25.1618,25.1618,25.1618,25.1618,NOMINAL
11.0000,3.3517,-10.0000,-33.5173,0.2014,0.2268,89.0567,88.8290,3.3517,25.1623,25.1623,25.1623,25.1623,NOMINAL
11.5000,3.3591,-20.0000,-72.0294,0.2014,0.2268,89.0509,88.8329,3.3591,25.1654,25.1654,25.1654,25.1654,NOMINAL
12.0000,3.3675,-31.0000,-105.1137,0.2014,0.2268,89.0492,88.8389,3.3675,25.1733,25.1733,25.1733,25.1733,NOMINAL
12.5000,3.3703,-31.0000,-104.4786,0.2015,0.2268,89.0481,88.8449,3.3703,25.1813,25.1813,25.1813,25.1813,NOMINAL
13.0000,3.3474,14.0000,47.9825,0.2015,0.2268,89.0392,88.8422,3.3474,25.1826,25.1826,25.1826,25.1826,NOMINAL
13.5000,3.3243,54.0000,180.7154,0.2014,0.2268,89.0229,88.8317,3.3243,25.2076,25.2076,25.2076,25.2076,NOMINAL
14.0000,3.3157,64.0000,218.1038,0.2014,0.2268,89.0063,88.8194,3.3157,25.2429,25.2429,25.2429,25.2429,NOMINAL
14.5000,3.3027,81.0000,266.1819,0.2014,0.2268,88.9847,88.8038,3.3027,25.2996,25.2996,25.2996,25.2996,NOMINAL
15.0000,3.2968,84.0000,277.2352,0.2013,0.2268,88.9632,88.7876,3.2968,25.3605,25.3605,25.3605,25.3605,NOMINAL
15.5000,3.3322,14.0000,52.2238,0.2013,0.2268,88.9570,88.7849,3.3322,25.3613,25.3613,25.3613,25.3613,NOMINAL
16.0000,3.3095,55.0000,187.0376,0.2013,0.2268,88.9428,88.7743,3.3095,25.3868,25.3868,25.3868,25.3868,NOMINAL
16.5000,3.2829,98.0000,320.4707,0.2013,0.2268,88.9189,88.7553,3.2829,25.4697,25.4697,25.4697,25.4697,NOMINAL
17.0000,3.2782,98.0000,321.2615,0.2012,0.2268,88.8956,88.7364,3.2782,25.5524,25.5524,25.5524,25.5524,NOMINAL
17.5000,3.3133,28.0000,87.3283,0.2012,0.2268,88.8847,88.7310,3.3133,25.5579,25.5579,25.5579,25.5579,NOMINAL
18.0000,3.3412,-21.0000,-67.8583,0.2012,0.2268,88.8853,88.7351,3.3412,25.5603,25.5603,25.5603,25.5603,NOMINAL
18.5000,3.2930,70.0000,229.9975,0.2012,0.2268,88.8678,88.7216,3.2930,25.6017,25.6017,25.6017,25.6017,NOMINAL
19.0000,3.2575,128.0000,415.1408,0.2011,0.2268,88.8390,88.6969,3.2575,25.7431,25.7431,25.7431,25.7431,NOMINAL
19.5000,3.3101,24.0000,80.0415,0.2011,0.2268,88.8310,88.6923,3.3101,25.7463,25.7463,25.7463,25.7463,NOMINAL
20.0000,3.3295,-9.0000,-35.7292,0.2011,0.2268,88.8282,88.6940,3.3295,25.7451,25.7451,25.7451,25.7451,NOMINAL
20.5000,3.2774,88.0000,285.0267,0.2011,0.2268,88.8073,88.6770,3.2774,25.8108,25.8108,25.8108,25.8108,NOMINAL
21.0000,3.3242,-1.0000,-1.2716,0.2011,0.2268,88.8049,88.6772,3.3242,25.8087,25.8087,25.8087,25.8087,NOMINAL
21.5000,3.3553,-52.0000,-172.9962,0.2011,0.2268,88.8123,88.6873,3.3553,25.8303,25.8303,25.8303,25.8303,NOMINAL
22.0000,3.2957,63.0000,213.7889,0.2011,0.2268,88.7985,88.6751,3.2957,25.8628,25.8628,25.8628,25.8628,NOMINAL
22.5000,3.2935,63.0000,207.4932,0.2011,0.2268,88.7836,88.6629,3.2935,25.8952,25.8952,25.8952,25.8952,NOMINAL
23.0000,3.2915,63.0000,207.3621,0.2010,0.2268,88.7688,88.6508,3.2915,25.9275,25.9275,25.9275,25.9275,NOMINAL
23.5000,3.2895,63.0000,207.2381,0.2010,0.2268,88.7541,88.6386,3.2895,25.9598,25.9598,25.9598,25.9598,NOMINAL
24.0000,3.2876,63.0000,207.1209,0.2010,0.2268,88.7394,88.6265,3.2876,25.9920,25.9920,25.9920,25.9920,NOMINAL
24.5000,3.2859,63.0000,207.0101,0.2009,0.2268,88.7249,88.6143,3.2859,26.0240,26.0240,26.0240,26.0240,NOMINAL
25.0000,3.2842,63.0000,206.9053,0.2009,0.2268,88.7104,88.6022,3.2842,26.0560,26.0560,26.0560,26.0560,NOMINAL
25.5000,3.2826,63.0000,206.8061,0.2009,0.2268,88.6960,88.5900,3.2826,26.0879,26.0879,26.0879,26.0879,NOMINAL
26.0000,3.2811,63.0000,206.7122,0.2009,0.2268,88.6817,88.5779,3.2811,26.1197,26.1197,26.1197,26.1197,NOMINAL
26.5000,3.2797,63.0000,206.6233,0.2008,0.2268,88.6674,88.5657,3.2797,26.1515,26.1515,26.1515,26.1515,NOMINAL
27.0000,3.2784,63.0000,206.5391,0.2008,0.2268,88.6533,88.5536,3.2784,26.1831,26.1831,26.1831,26.1831,NOMINAL
27.5000,3.2771,63.0000,206.4593,0.2008,0.2268,88.6391,88.5414,3.2771,26.2147,26.2147,26.2147,26.2147,NOMINAL
28.0000,3.2759,63.0000,206.3836,0.2007,0.2268,88.6251,88.5293,3.2759,26.2462,26.2462,26.2462,26.2462,NOMINAL
28.5000,3.2748,63.0000,206.3119,0.2007,0.2268,88.6111,88.5171,3.2748,26.2776,26.2776,26.2776,26.2776,NOMINAL
29.0000,3.2737,63.0000,206.2439,0.2007,0.2268,88.5971,88.5050,3.2737,26.3089,26.3089,26.3089,26.3089,NOMINAL
29.5000,3.2727,63.0000,206.1793,0.2007,0.2268,88.5832,88.4928,3.2727,26.3401,26.3401,26.3401,26.3401,NOMINAL
30.0000,3.2717,63.0000,206.1179,0.2006,0.2268,88.5693,88.4807,3.2717,26.3713,26.3713,26.3713,26.3713,NOMINAL
30.5000,3.2601,82.0000,273.3008,0.2006,0.2268,88.5528,88.4648,3.2601,26.4263,26.4263,26.4263,26.4263,NOMINAL
31.0000,3.2529,91.0000,292.9403,0.2006,0.2268,88.5331,88.4473,3.2529,26.4946,26.4946,26.4946,26.4946,NOMINAL
31.5000,3.2487,94.0000,302.1600,0.2005,0.2268,88.5129,88.4292,3.2487,26.5676,26.5676,26.5676,26.5676,NOMINAL
32.0000,3.2827,29.0000,92.0946,0.2005,0.2268,88.5053,88.4236,3.2827,26.5710,26.5710,26.5710,26.5710,NOMINAL
32.5000,3.2979,5.0000,18.1697,0.2005,0.2268,88.5031,88.4226,3.2979,26.5673,26.5673,26.5673,26.5673,NOMINAL
33.0000,3.3173,-24.0000,-73.1397,0.2005,0.2268,88.5072,88.4272,3.3173,26.5684,26.5684,26.5684,26.5684,NOMINAL
33.5000,3.2753,59.0000,193.6767,0.2005,0.2268,88.4945,88.4158,3.2753,26.5947,26.5947,26.5947,26.5947,NOMINAL
34.0000,3.2419,117.0000,380.6407,0.2004,0.2268,88.4707,88.3933,3.2419,26.7095,26.7095,26.7095,26.7095,NOMINAL
34.5000,3.2892,25.0000,83.3251,0.2004,0.2268,88.4647,88.3884,3.2892,26.7107,26.7107,26.7107,26.7107,NOMINAL
35.0000,3.3089,-7.0000,-24.0789,0.2004,0.2268,88.4646,88.3898,3.3089,26.7068,26.7068,26.7068,26.7068,NOMINAL
35.5000,3.2387,124.0000,396.6637,0.2004,0.2268,88.4387,88.3659,3.2387,26.8360,26.8360,26.8360,26.8360,NOMINAL
36.0000,3.3024,2.0000,11.2700,0.2004,0.2268,88.4376,88.3655,3.3024,26.8314,26.8314,26.8314,26.8314,NOMINAL
36.5000,3.2796,48.0000,162.1423,0.2004,0.2268,88.4278,88.3562,3.2796,26.8468,26.8468,26.8468,26.8468,NOMINAL
37.0000,3.3122,-10.0000,-29.4170,0.2004,0.2268,88.4290,88.3582,3.3122,26.8430,26.8430,26.8430,26.8430,NOMINAL
37.5000,3.2708,70.0000,229.5099,0.2003,0.2268,88.4144,88.3447,3.2708,26.8809,26.8809,26.8809,26.8809,NOMINAL
38.0000,3.2990,17.0000,52.6331,0.2003,0.2268,88.4095,88.3414,3.2990,26.8787,26.8787,26.8787,26.8787,NOMINAL
38.5000,3.3216,-20.0000,-70.8384,0.2003,0.2268,88.4116,88.3452,3.3216,26.8775,26.8775,26.8775,26.8775,NOMINAL
39.0000,3.3183,-7.0000,-22.6439,0.2003,0.2268,88.4120,88.3466,3.3183,26.8732,26.8732,26.8732,26.8732,NOMINAL
39.5000,3.2577,106.0000,341.5635,0.2003,0.2268,88.3900,88.3261,3.2577,26.9659,26.9659,26.9659,26.9659,NOMINAL
40.0000,3.2995,24.0000,76.7592,0.2003,0.2268,88.3840,88.3215,3.2995,26.9660,26.9660,26.9660,26.9660,NOMINAL
40.5000,3.3310,-30.0000,-99.6308,0.2003,0.2268,88.3888,88.3273,3.3310,26.9689,26.9689,26.9689,26.9689,NOMINAL
41.0000,3.2606,103.0000,332.9063,0.2002,0.2268,88.3675,88.3074,3.2606,27.0559,27.0559,27.0559,27.0559,NOMINAL
41.5000,3.2946,35.0000,116.5030,0.2002,0.2268,88.3600,88.3007,3.2946,27.0614,27.0614,27.0614,27.0614,NOMINAL
42.0000,3.3134,2.0000,12.9870,0.2002,0.2268,88.3594,88.3003,3.3134,27.0562,27.0562,27.0562,27.0562,NOMINAL
42.5000,3.2849,57.0000,183.9733,0.2002,0.2268,88.3471,88.2893,3.2849,27.0792,27.0792,27.0792,27.0792,NOMINAL
43.0000,3.2948,37.0000,121.3405,0.2002,0.2268,88.3389,88.2822,3.2948,27.0859,27.0859,27.0859,27.0859,NOMINAL
43.5000,3.2117,185.0000,591.2644,0.2001,0.2268,88.3019,88.2465,3.2117,27.3770,27.3770,27.3770,27.3770,NOMINAL
